Mach[-]--Velocità[m/s]--Estensione--CD(Singolo_Petalo)[-]
				
0.1,34.71,0.2,0.580807753
0.2,69.42,0.2,0.611303821
0.3,104.13,0.2,0.628664214
0.4,138.84,0.2,0.645456332
0.5,173.55,0.2,0.663885754
0.6,208.26,0.2,0.686298413
0.7,242.97,0.2,0.715678411
0.8,277.68,0.2,0.755314974
0.9,312.39,0.2,0.836198431
				
0.1,34.71,0.4,0.713657955
0.2,69.42,0.4,0.735245864
0.3,104.13,0.4,0.751484484
0.4,138.84,0.4,0.767644778
0.5,173.55,0.4,0.786474922
0.6,208.26,0.4,0.809958423
0.7,242.97,0.4,0.841152215
0.8,277.68,0.4,0.893204249
0.9,312.39,0.4,0.982055734
				
0.1,34.71,0.6,0.79016803
0.2,69.42,0.6,0.808968758
0.3,104.13,0.6,0.823929554
0.4,138.84,0.6,0.839988027
0.5,173.55,0.6,0.85974544
0.6,208.26,0.6,0.885514619
0.7,242.97,0.6,0.91991938
0.8,277.68,0.6,0.981054256
0.9,312.39,0.6,1.07855931
				
0.1,34.71,0.8,0.86311843
0.2,69.42,0.8,0.880511874
0.3,104.13,0.8,0.896796372
0.4,138.84,0.8,0.914367812
0.5,173.55,0.8,0.936048637
0.6,208.26,0.8,0.964864234
0.7,242.97,0.8,1.004394338
0.8,277.68,0.8,1.062287066
0.9,312.39,0.8,1.139780701
				
0.1,34.71,1,0.940896585
0.2,69.42,1,1.038382685
0.3,104.13,1,1.050224147
0.4,138.84,1,1.053026449
0.5,173.55,1,1.020484616
0.6,208.26,1,1.051743184
0.7,242.97,1,1.150549529
0.8,277.68,1,1.183214994
0.9,312.39,1,1.284040949
